nb,od,thickness,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,bld kg,bolts wt rf
0+1/2,135,30.2,34.9,7,88.9,4 Holes,3/4'',120,7/8'' Dia,M20,3.2 kg,1.62 kg
0+3/4,140,31.8,42.9,7,95.2,4 Holes,3/4'',125,7/8'' Dia,M20,3.7 kg,1.66 kg
1,160,35.0,50.8,7,108.0,4 Holes,7/8'',140,1'' Dia,M24,5.0 kg,2.76 kg
1+1/4,185,38.1,63.5,7,130.2,4 Holes,1'',150,1+1/8'' Dia,M27,7.8 kg,3.91 kg
1+1/2,205,44.5,73.0,7,146.0,4 Holes,1+1/8'',170,1+1/4'' Dia,M30,10.5 kg,5.44 kg
2,235,50.9,92.1,7,171.4,8 Holes,1'',180,1+1/8'' Dia,M27,18.0 kg,8.74 kg
2+1/2,265,57.2,104.8,7,196.8,8 Holes,1+1/8'',195,1+1/4'' Dia,M30,25.5 kg,11.81 kg
3,305,66.7,127.0,7,228.6,8 Holes,1+1/4'',220,1+3/8'' Dia,M33,39.0 kg,15.86 kg
4,355,76.2,157.2,7,273.0,8 Holes,1+1/2'',255,1+5/8'' Dia,M39,61.5 kg,27.03 kg
5,420,92.1,185.7,7,323.8,8 Holes,1+3/4'',300,1+7/8'' Dia,M45,102.0 kg,36.38 kg
6,485,108.0,215.9,7,368.3,8 Holes,2'',345,2+1/8'' Dia,M52,157.0 kg,66.02 kg
8,550,127.0,269.9,7,438.2,12 Holes,2'',380,2+1/8'' Dia,M52,241.0 kg,105.5 kg
10,675,165.1,323.8,7,539.8,12 Holes,2+1/2'',490,2+5/8'' Dia,M64,470.0 kg,194.74 kg
12,760,184.2,381.0,7,619.1,12 Holes,2+3/4'',540,2+7/8'' Dia,M72,575.0 kg,269.63 kg
