nb,od,thickness,hub-x,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf,As Required
0+1/2,95,14.3,38,34.9,7,66.7,4 Holes,1/2'',75,5/8'' Dia,M14,1.3 kg,0.54 kg,As Required
0+3/4,115,15.9,48,42.9,7,82.6,4 Holes,5/8'',90,3/4'' Dia,M16,1.4 kg,0.79 kg,As Required
1,125,17.5,54,50.8,7,88.9,4 Holes,5/8'',90,3/4'' Dia,M16,1.8 kg,0.79 kg,As Required
1+1/4,135,20.7,64,63.5,7,98.4,4 Holes,5/8'',95,3/4'' Dia,M16,2.3 kg,0.82 kg,As Required
1+1/2,155,22.3,70,73.0,7,114.3,4 Holes,3/4'',110,7/8'' Dia,M20,3.2 kg,1.54 kg,As Required
2,165,25.4,84,92.1,7,127.0,8 Holes,5/8'',110,3/4'' Dia,M16,4.1 kg,1.8 kg,As Required
2+1/2,190,28.6,100,104.8,7,149.2,8 Holes,3/4'',120,7/8'' Dia,M20,5.9 kg,3.24 kg,As Required
3,210,31.8,117,127.0,7,168.3,8 Holes,3/4'',125,7/8'' Dia,M20,7.3 kg,3.32 kg,As Required
4,275,38.1,152,157.2,7,215.9,8 Holes,7/8'',145,1'' Dia,M24,16.8 kg,5.64 kg,As Required
5,330,44.5,189,185.7,7,266.7,8 Holes,1'',165,1+1/8'' Dia,M27,29.0 kg,8.27 kg,As Required
6,355,47.7,222,215.9,7,292.1,12 Holes,1'',170,1+1/8'' Dia,M27,36.0 kg,12.65 kg,As Required
8,420,55.6,273,269.9,7,349.2,12 Holes,1+1/8'',190,1+1/4'' Dia,M30,52.0 kg,17.44 kg,As Required
10,510,63.5,343,323.8,7,431.8,16 Holes,1+1/4'',215,1+3/8'' Dia,M33,77.0 kg,31.28 kg,As Required
12,560,66.7,400,381.0,7,489.0,20 Holes,1+1/4'',220,1+3/8'' Dia,M33,91.0 kg,39.66 kg,As Required
