nb,od,thickness,hub-x,thd thk,SO Bore,rtj rf dia,rtj rf height,ring no,dist betwn flgs,pcd,no of bolts,bolt size unc,rtj sb len,hole size,iso sb size,so kg,rtj pitch dia,rtj depth,rtj width,bolts wt rtj,rtj degree
0+1/2,90,9.6,30,14,22.2,,,,,60.3,4 Holes,1/2'',,5/8'' Dia,M14,0.8 kg,,,,nan kg,23*
0+3/4,100,11.2,38,14,27.7,,,,,69.9,4 Holes,1/2'',,5/8'' Dia,M14,0.9 kg,,,,nan kg,23*
1,110,12.7,49,16,34.5,63.5,6.35,15.0,4.0,79.4,4 Holes,1/2'',75.0,5/8'' Dia,M14,0.9 kg,47.63,6.35,8.74,0.54 kg,23*
1+1/4,115,14.3,59,19,43.2,73.0,6.35,17.0,4.0,88.9,4 Holes,1/2'',85.0,5/8'' Dia,M14,1.4 kg,57.15,6.35,8.74,0.58 kg,23*
1+1/2,125,15.9,65,21,49.5,82.5,6.35,19.0,4.0,98.4,4 Holes,1/2'',85.0,5/8'' Dia,M14,1.4 kg,65.07,6.35,8.74,0.58 kg,23*
2,150,17.5,78,24,61.9,102.0,6.35,22.0,4.0,120.7,4 Holes,5/8'',95.0,3/4'' Dia,M16,2.3 kg,82.55,6.35,8.74,0.82 kg,23*
2+1/2,180,20.7,90,27,74.6,121.0,6.35,25.0,4.0,139.7,4 Holes,5/8'',100.0,3/4'' Dia,M16,3.2 kg,101.6,6.35,8.74,0.84 kg,23*
3,190,22.3,108,29,90.7,133.0,6.35,29.0,4.0,152.4,4 Holes,5/8'',100.0,3/4'' Dia,M16,3.7 kg,114.3,6.35,8.74,0.84 kg,23*
3+1/2,215,22.3,122,30,103.4,154.0,6.35,33.0,4.0,177.8,8 Holes,5/8'',100.0,3/4'' Dia,M16,5.0 kg,131.78,6.35,8.74,1.69 kg,23*
4,230,22.3,135,32,116.8,171.0,6.35,36.0,4.0,190.5,8 Holes,5/8'',100.0,3/4'' Dia,M16,5.9 kg,149.23,6.35,8.74,1.69 kg,23*
5,255,22.3,164,35,143.8,194.0,6.35,40.0,4.0,215.9,8 Holes,3/4'',110.0,7/8'' Dia,M20,6.8 kg,171.45,6.35,8.74,3.08 kg,23*
6,280,23.9,192,38,170.7,219.0,6.35,43.0,4.0,241.3,8 Holes,3/4'',115.0,7/8'' Dia,M20,8.6 kg,193.68,6.35,8.74,3.16 kg,23*
8,345,27.0,246,43,221.5,273.0,6.35,48.0,4.0,298.5,8 Holes,3/4'',120.0,7/8'' Dia,M20,13.7 kg,247.65,6.35,8.74,3.24 kg,23*
10,405,28.6,305,48,276.2,330.0,6.35,52.0,4.0,362.0,12 Holes,7/8'',125.0,1'' Dia,M24,19.5 kg,304.8,6.35,8.74,7.76 kg,23*
12,485,30.2,365,54,327.0,406.0,6.35,56.0,4.0,431.8,12 Holes,7/8'',135.0,1'' Dia,M24,29.0 kg,381.0,6.35,8.74,8.11 kg,23*
14,535,33.4,400,56,359.2,425.0,6.35,59.0,3.0,476.3,12 Holes,1'',145.0,1+1/8'' Dia,M27,41.0 kg,396.88,6.35,8.74,11.49 kg,23*
16,595,35.0,457,62,410.5,483.0,6.35,64.0,3.0,539.8,16 Holes,1'',145.0,1+1/8'' Dia,M27,54.0 kg,454.03,6.35,8.74,15.32 kg,23*
18,635,38.1,505,67,461.8,546.0,6.35,68.0,3.0,577.9,16 Holes,1+1/8'',160.0,1+1/4'' Dia,M30,59.0 kg,517.53,6.35,8.74,21.02 kg,23*
20,700,41.3,559,71,513.1,597.0,6.35,72.0,3.0,635.0,20 Holes,1+1/8'',170.0,1+1/4'' Dia,M30,75.0 kg,558.8,6.35,8.74,27.21 kg,23*
24,815,46.1,663,81,616.0,711.0,6.35,76.0,3.0,749.3,20 Holes,1+1/4'',185.0,1+3/8'' Dia,M33,100.0 kg,673.1,6.35,8.74,35.65 kg,23*
