nb,od,thickness,hub-x,thd thk,rf dia,rf height,pcd,no of bolts,bolt size unc,rf sb length,hole size,iso sb size,so kg,bolts wt rf
0+1/2,90,9.6,30,14,34.9,2,60.3,4 Holes,1/2'',55,5/8'' Dia,M14,0.8 kg,0.46 kg
0+3/4,100,11.2,38,14,42.9,2,69.9,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,0.5 kg
1,110,12.7,49,16,50.8,2,79.4,4 Holes,1/2'',65,5/8'' Dia,M14,0.9 kg,0.5 kg
1+1/4,115,14.3,59,19,63.5,2,88.9,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,0.52 kg
1+1/2,125,15.9,65,21,73.0,2,98.4,4 Holes,1/2'',70,5/8'' Dia,M14,1.4 kg,0.52 kg
2,150,17.5,78,24,92.1,2,120.7,4 Holes,5/8'',85,3/4'' Dia,M16,2.3 kg,0.77 kg
2+1/2,180,20.7,90,27,104.8,2,139.7,4 Holes,5/8'',90,3/4'' Dia,M16,3.2 kg,0.79 kg
3,190,22.3,108,29,127.0,2,152.4,4 Holes,5/8'',90,3/4'' Dia,M16,3.7 kg,0.79 kg
3+1/2,215,22.3,122,30,139.7,2,177.8,8 Holes,5/8'',90,3/4'' Dia,M16,5.0 kg,1.59 kg
4,230,22.3,135,32,157.2,2,190.5,8 Holes,5/8'',90,3/4'' Dia,M16,5.9 kg,1.59 kg
5,255,22.3,164,35,185.7,2,215.9,8 Holes,3/4'',95,7/8'' Dia,M20,6.8 kg,2.83 kg
6,280,23.9,192,38,215.9,2,241.3,8 Holes,3/4'',100,7/8'' Dia,M20,8.6 kg,2.91 kg
8,345,27.0,246,43,269.9,2,298.5,8 Holes,3/4'',110,7/8'' Dia,M20,13.7 kg,3.08 kg
10,405,28.6,305,48,323.8,2,362.0,12 Holes,7/8'',115,1'' Dia,M24,19.5 kg,7.4 kg
12,485,30.2,365,54,381.0,2,431.8,12 Holes,7/8'',120,1'' Dia,M24,29.0 kg,7.58 kg
14,535,33.4,400,56,412.8,2,476.3,12 Holes,1'',135,1+1/8'' Dia,M27,41.0 kg,11.04 kg
16,595,35.0,457,62,469.9,2,539.8,16 Holes,1'',135,1+1/8'' Dia,M27,54.0 kg,14.72 kg
18,635,38.1,505,67,533.4,2,577.9,16 Holes,1+1/8'',145,1+1/4'' Dia,M30,59.0 kg,19.9 kg
20,700,41.3,559,71,584.2,2,635.0,20 Holes,1+1/8'',160,1+1/4'' Dia,M30,75.0 kg,26.28 kg
24,815,46.1,663,81,692.2,2,749.3,20 Holes,1+1/4'',170,1+3/8'' Dia,M33,100.0 kg,33.94 kg
